year,month,m_dezez,m_orig,yoy_month,yoy_cumul,idx1990_orig,idx1990_dezez,seas_idx,idx1991_orig,idx1991_dezez
1991,1,-2.5,-12.6,-22.9,-22.9,-20.7,-15.9,-5.7,10.9,17.6
1991,2,-4.2,2.4,-24.0,-23.4,-18.8,-19.4,0.7,13.5,12.7
1991,3,-7.1,2.7,-29.0,-25.4,-16.6,-25.1,11.3,16.6,4.7
1991,4,10.9,-1.3,-19.3,-24.0,-17.6,-16.8,-1.0,15.2,16.3
1991,5,0.8,1.5,-14.9,-22.3,-15.4,-16.1,-0.4,16.9,17.3
1991,6,-6.0,-2.8,-16.6,-21.3,-18.7,-21.1,3.0,13.5,10.1
1991,7,13.1,-9.4,-9.1,-19.9,-25.4,-10.8,-17.4,2.9,24.6
1991,8,-21.2,-11.3,-31.0,-21.3,-34.7,-29.8,-7.0,-8.7,-1.8
1991,9,-20.5,-10.6,-42.5,-23.7,-41.6,-44.2,4.7,-18.3,-21.9
1991,10,0.0,0.5,-44.7,-25.9,-41.3,-44.2,5.2,-17.8,-21.9
1991,11,-0.9,-4.9,-44.7,-27.6,-44.2,-44.7,0.9,-22.0,-22.7
1991,12,-4.9,-0.9,-39.1,-28.5,-44.7,-47.4,5.1,-22.7,-26.5
1992,1,13.5,1.8,-29.0,-29.0,-43.8,-40.4,-5.7,-21.3,-16.5
1992,2,-2.8,3.8,-28.0,-28.5,-41.6,-42.1,0.9,-18.3,-19.0
1992,3,-5.5,4.4,-25.8,-28.0,-39.0,-45.2,11.3,-14.7,-23.4
1992,4,8.4,-3.6,-28.6,-28.1,-41.2,-40.6,-1.0,-17.8,-17.0
1992,5,-2.5,-1.7,-30.9,-28.7,-42.2,-42.0,-0.4,-19.2,-18.9
1992,6,2.2,5.4,-24.9,-28.1,-39.1,-40.5,2.9,-14.8,-17.2
1992,7,23.9,-0.6,-17.7,-26.8,-39.5,-26.7,-17.4,-15.3,2.5
1992,8,-17.2,-6.7,-13.5,-25.3,-43.5,-39.3,-7.0,-21.0,-15.1
1992,9,1.3,13.9,10.2,-22.4,-35.7,-38.6,4.7,-10.0,-14.0
1992,10,5.9,6.4,16.7,-19.3,-31.5,-34.9,5.2,-4.2,-9.0
1992,11,2.2,-2.1,20.3,-16.6,-32.9,-33.5,0.9,-6.2,-7.0
1992,12,-9.8,-6.0,14.1,-14.6,-37.0,-40.0,5.1,-11.8,-16.1
