"year","gdppc_tica"
1910,1263
1911,1299
1912,1336
1913,1373
1914,
1915,
1916,
1917,
1918,
1919,
1920,1225
1921,1225
1922,1263
1923,1326
1924,1364
1925,1428
1926,1516
1927,1453
1928,1554
1929,1655
1930,1592
1931,1516
1932,1364
1933,1390
1934,1428
1935,1364
1936,1516
1937,1516
1938,1655
1939,1718
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,1554
1948,1844
1949,2009
1950,1844
1951,1882
1952,1655
1953,1890
1954,2181
1955,2298
1956,2238
1957,2561
1958,2706
1959,2872
1960,3085
1961,3236
1962,3259
1963,3535
1964,3798
1965,3969
1966,4141
1967,4212
1968,4285
1969,4633
1970,4871
1971,5413
1972,5511
1973,5630
1974,6366
1975,6315
1976,6494
1977,6965
1978,7349
1979,7748
1980,7909
1981,8006
1982,8117
1983,8158
1984,8342
1985,8118
1986,8364
1987,8343
1988,8266
1989,8155
