SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,1,b001,POTRAŽIVANJA ZA UPISANI A NEUPLAĆENI KAPITAL,SUBSCRIBED CAPITAL UNPAID,FORDERUNGEN AN AUSSTEHENDE EINLAGE AUF DAS GEZEICHNETE KAPITAL,00,1
61,2,b002,DUGOTRAJNA IMOVINA (AOP 003+010+020+031+036),FIXED ASSETS (EDV 003 + 010 + 020 + 031 + 036),ANLAGEVERMÖGEN (EDP 003 + 010 + 020 + 031 + 036),00,1
61,3,b003,NEMATERIJALNA IMOVINA (AOP 004 do 009),INTANGIBLE ASSETS (EDV 004 to 009),IMMATERIELLE ANLAGEVERMÖGEN (EDP 004 bis 009),00,1
61,4,b004,Izdaci za razvoj,Development expenses,Entwicklungskosten,00,1
61,5,b005,"Koncesije, patenti, licencije, robne i uslužne marke, softver i ostala prava","Concessions, patents, licences, goods and service brands, software and other rights","Konzessionen, Patente, Lizenzen, Waren - und Dienstmarken, Software und andere Rechte",00,1
61,6,b006,Goodwill,Goodwill,Firmenwert,00,1
61,7,b007,Predujmovi za nabavu nematerijalne imovine,Prepayments for intangible assets,Vorschüsse für die Anschaffungen von immateriellen Anlagevermögen,00,1
61,8,b008,Nematerijalna imovina u pripremi,Intangible assets in course of construction,Immaterielle Anlagevermögen im Bau,00,1
61,9,b009,Ostala nematerijalna imovina,Other intangible assets,Sonstige immaterielle Anlagevermögen,00,1
61,10,b010,MATERIJALNA IMOVINA (AOP 011 do 019),TANGIBLE ASSETS (EDV 011 to 019),SACHANLAGEN (EDP 011 bis 019),00,1
61,11,b011,Zemljište,Land,Grundstück,00,1
61,12,b012,Građevinski objekti,Buildings,Bauobjekte,00,1
61,13,b013,Postrojenja i oprema,Plants and equipment,Anlagen und Ausstattung,00,1
61,14,b014,"Alati, pogonski inventar i transportna imovina","Tools, factory equipment and transport vehicles","Werkzeuge, Betriebsausstattung und Transportvermögen",00,1
61,15,b015,Biološka imovina,Biological assets,Biologisches Vermögen,00,1
61,16,b016,Predujmovi za materijalnu imovinu,Prepayments for tangible assets,Vorschüsse für die Sachanlagen,00,1
61,17,b017,Materijalna imovina u pripremi,Tangible assets in course of construction,Sachanlage im Bau,00,1
61,18,b018,Ostala materijalna imovina,Other tangible assets,Sonstige Sachanlagen,00,1
61,19,b019,Ulaganje u nekretnine,Property investment,Immobilienanlage,00,1
61,20,b020,DUGOTRAJNA FINANCIJSKA IMOVINA (AOP 021 do 030),FIXED FINANCIAL ASSETS (EDV 021 to 030),LANGFRISTIGE FINANZANLAGE (EDP 021 bis 030),00,1
